cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,,w/c,f/c,age,concrete_compressive_strength
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39,,0.55,0.71,7,21.16
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64,,0.55,0.71,28,31.84
387,20,94,157,13.9,938,845,28,46.68,,0.63,0.72,7,14.8
387,20,94,157,11.6,938,845,28,46.68,,0.63,0.72,28,25.18
425,106.3,0,151.4,18.6,936,803.7,7,46.80,,0.78,0.71,28,17.54
531.3,0,0,141.8,28.2,852.1,893.7,7,46.90,,0.65,0.71,7,14.2
190,190,0,228,0,932,670,180,46.93,,0.65,0.71,28,21.65
266,114,0,228,0,932,670,90,47.03,,0.65,0.71,90,29.39
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.10,,0.58,0.94,3,13.52
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13,,0.58,0.84,7,16.26
500,0,0,200,0,1125,613,90,47.22,,0.58,0.84,28,31.45
333,17.5,163,167,17.9,996,652,28,47.28,,0.58,0.84,90,37.23
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.40,,0.55,0.77,7,18.13
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,,0.55,0.77,28,32.72
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71,,0.55,0.77,90,39.49
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74,,0.55,0.77,180,41.05
236,157,0,192,0,972.6,749.1,90,47.78,,0.55,0.77,360,42.13
304,76,0,228,0,932,670,28,47.81,,0.67,0.84,14,18.13
212,0,124.8,159,7.8,1085.4,799.5,100,47.82,,0.67,0.84,180,26.74
387,20,94,157,13.9,938,845,56,47.97,,0.36,0.55,180,61.92
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,,0.4,0.55,90,47.22
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28,,0.4,0.55,180,51.04
525,0,0,189,0,1125,613,14,48.40,,0.4,0.55,270,55.16
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,,0.32,0.55,3,41.64
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67,,0.73,0.71,7,13.71
266,114,0,228,0,932,670,180,48.70,,0.73,0.71,28,19.69
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72,,0.55,0.71,28,31.65
393,0,0,192,0,940,758,90,48.79,,0.49,0.81,3,19.11
393,0,0,192,0,940.6,785.6,90,48.85,,0.49,0.81,28,39.58
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97,,0.49,0.81,90,48.79
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99,,0.48,0.71,7,24
304,76,0,228,0,932,670,90,49.19,,0.48,0.71,28,37.42
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20,,0.74,0.71,7,11.47
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20,,0.73,0.71,28,19.69
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20,,0.62,0.88,7,14.99
200,200,0,190,0,1145,660,28,49.25,,0.62,0.88,28,27.92
260,101,78,171,10,936,763,28,49.77,,0.62,0.88,90,34.68
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,,0.62,0.88,180,37.33
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80,,0.62,0.88,360,38.11
337.9,189,0,174.9,9.5,944.7,755.8,28,49.90,,0.36,0.55,3,33.8
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,,0.36,0.55,7,42.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99,,0.36,0.55,14,48.4
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08,,0.36,0.55,28,55.94
387,20,94,157,14.3,938,845,28,50.24,,0.36,0.55,90,58.78
342,38,0,228,0,932,670,90,50.46,,0.36,0.55,270,67.11
522,0,0,146,0,896,896,7,50.51,,0.63,0.82,14,20.77
288,192,0,192,0,932,717.8,90,50.53,,0.63,0.82,28,25.18
252.3,0,98.8,146.3,14.2,987.8,889,28,50.60,,0.63,0.82,180,29.59
190,190,0,228,0,932,670,270,50.66,,0.67,0.84,28,21.75
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.70,,0.47,0.71,28,39.09
192,288,0,192,0,929.8,716.1,90,50.73,,0.4,0.77,3,24.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,,0.28,1,7,50.51
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94,,0.28,1,28,74.99
304,76,0,228,0,932,670,180,50.95,,0.77,0.75,28,37.17
520,0,0,175,5.2,870,805,28,51.02,,1.1,0.88,28,33.76
446,24,79,162,11.6,967,712,28,51.02,,1.43,0.71,28,16.5
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04,,1.37,0.96,28,19.99
500,0,0,200,0,1125,613,180,51.04,,1.11,0.74,28,36.35
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06,,0.54,0.71,28,33.69
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26,,1.1,0.9,28,15.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33,,0.7,0.81,28,33.42
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43,,0.51,0.72,28,39.05
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,,1.1,0.76,28,27.68
266,114,0,228,0,932,670,270,51.73,,1.31,0.68,28,26.86
203.5,305.3,0,203.5,0,963.4,630,90,51.86,,0.54,0.88,28,45.3
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96,,0.64,0.74,28,30.12
446,24,79,162,11.6,967,712,7,52.01,,1.11,0.78,28,15.57
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04,,1.23,0.89,28,44.61
342,38,0,228,0,932,670,180,52.12,,0.67,0.75,28,53.52
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20,,0.59,0.89,28,57.21
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.20,,0.52,0.92,28,65.91
405,0,0,175,0,1120,695,28,52.30,,0.61,0.98,28,52.82
322,149,0,186,8,951,709,28,52.42,,0.77,0.98,28,33.4
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43,,1.1,0.71,28,18.03
313,161,0,178,10,917,759,28,52.44,,1.15,0.68,28,37.36
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45,,1.27,0.86,28,32.84
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.50,,0.62,0.93,28,42.64
380,0,0,228,0,932,670,365,52.52,,0.66,0.86,28,40.06
540,0,0,173,0,1125,613,7,52.61,,0.66,0.77,28,41.94
280,129,100,172,9,825,805,28,52.82,,0.53,0.9,28,61.23
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83,,0.54,0.97,28,40.87
380,0,0,228,0,932,670,90,52.91,,1.36,0.85,28,33.3
266,114,0,228,0,932,670,365,52.91,,0.58,0.75,28,52.42
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96,,1.1,1,28,15.09
380,0,0,228,0,932,670,180,53.10,,0.54,0.85,28,38.46
380,0,0,228,0,932,670,270,53.30,,0.57,0.9,28,37.26
446,24,79,162,10.3,967,712,28,53.39,,1.69,0.76,28,35.23
167,75.4,167,164,7.9,1007.3,770.1,56,53.46,,0.61,0.91,28,42.13
298,137,107,201,6,878,655,28,53.52,,0.7,0.85,28,31.87
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52,,0.74,0.95,28,41.54
285,190,0,163,7.6,1031,685,28,53.58,,1.05,0.66,28,39.45
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66,,1.1,0.96,28,37.91
190,190,0,228,0,932,670,365,53.69,,0.65,0.88,28,44.28
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72,,0.61,0.99,28,31.18
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,,1.3,0.87,28,23.69
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.90,,1.11,0.8,28,32.76
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96,,0.77,0.88,28,32.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.10,,1.04,0.82,28,28.63
480,0,0,192,0,936,721,90,54.28,,0.57,0.69,28,36.8
480,0,0,192,0,936.2,712.2,90,54.32,,1.25,0.67,28,18.28
304,76,0,228,0,932,670,270,54.38,,1.38,1.05,28,33.06
305.3,203.5,0,203.5,0,965.4,631,90,54.60,,0.75,0.95,28,31.42
446,24,79,162,10.3,967,712,56,54.77,,1.47,0.84,28,31.03
525,0,0,220,4,1015,570,7,54.80,,0.57,0.95,28,44.39
469,117.2,0,137.8,32.2,852.1,840.5,7,54.90,,1.21,0.82,28,12.18
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.90,,1.16,0.69,28,25.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02,,1.43,0.82,28,36.44
342,38,0,228,0,932,670,270,55.06,,1.18,1.05,28,32.96
500,0,0,200,0,1125,613,270,55.16,,0.71,0.83,28,23.84
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.20,,1.16,0.95,28,26.23
446,24,79,162,11.6,967,712,56,55.25,,1.07,0.83,28,17.95
304,76,0,228,0,932,670,365,55.26,,0.61,0.99,28,40.68
355,19,97,145,12.3,967,871,28,55.45,,1.16,0.82,28,19.01
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.50,,0.74,0.82,28,33.72
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,,1.39,0.79,28,8.54
385,0,136,158,20,903,768,28,55.55,,1.11,0.63,28,13.46
491,26,123,210,3.9,882,699,28,55.55,,0.73,0.82,28,32.24
475,118.8,0,181.1,8.9,852.1,781.5,7,55.60,,1.23,0.82,28,23.52
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64,,1.34,0.67,28,29.72
397,17.2,158,167,20.8,967,633,28,55.65,,0.66,0.82,28,49.77
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83,,0.57,0.83,28,52.44
362.6,189,0,164.9,11.6,944.7,755.8,7,55.90,,0.59,0.82,28,40.93
362.6,189,0,164.9,11.6,944.7,755.8,7,55.90,,0.54,0.83,28,44.86
362.6,189,0,164.9,11.6,944.7,755.8,7,55.90,,1.25,0.83,28,13.2
525,0,0,189,0,1125,613,28,55.94,,1.16,0.63,28,37.43
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,,1.33,0.99,28,29.87
439,177,0,186,11.1,884.9,707.9,7,56.10,,0.59,0.99,28,56.61
342,38,0,228,0,932,670,365,56.14,,1.25,0.67,28,12.46
446,24,79,162,11.6,967,712,56,56.14,,1.25,0.99,28,23.79
387,20,94,157,14.3,938,845,56,56.34,,1.33,0.84,28,13.29
531.3,0,0,141.8,28.2,852.1,893.7,28,56.40,,0.67,0.82,28,39.42
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.50,,0.57,0.79,28,46.23
331,170,0,195,8,811,802,28,56.61,,0.41,0.82,28,44.52
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62,,1.25,0.83,28,23.74
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63,,1.24,0.82,28,26.14
375,93.8,0,126.6,23.4,852.1,992.6,28,56.70,,1.22,1.05,28,15.52
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74,,0.69,0.7,28,43.57
167,75.4,167,164,7.9,1007.3,770.1,100,56.81,,0.55,0.82,28,35.86
528,0,0,185,6.9,920,720,28,56.83,,0.57,0.69,28,41.05
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85,,1.25,0.79,28,28.99
446,24,79,162,11.6,967,712,28,57.03,,0.67,0.82,28,46.24
321,164,0,190,5,870,774,28,57.21,,1.16,0.83,28,26.92
321.3,164.2,0,190.5,4.6,870,774,28,57.22,,1.39,1.06,28,10.54
475,0,59,142,1.9,1098,641,28,57.23,,0.57,0.82,28,25.1
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.60,,1.26,0.83,28,29.07
491,26,123,201,3.9,822,699,28,57.92,,1.25,0.99,28,9.74
475,0,0,162,9.5,1044,662,28,58.52,,0.74,0.82,28,33.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61,,1.33,0.78,28,39.84
525,0,0,189,0,1125,613,90,58.78,,1.46,0.92,28,26.97
531.3,0,0,141.8,28.2,852.1,893.7,56,58.80,,1.2,0.67,28,27.23
525,0,0,220,4,1015,570,28,58.90,,1.25,0.83,28,30.65
356,119,0,160,9,1061,657,28,59.00,,1.27,0.86,28,33.05
389.9,189,0,145.9,22,944.7,755.8,7,59.09,,1.29,0.67,28,24.58
531.3,0,0,141.8,28.2,852.1,893.7,91,59.20,,1.45,0.67,28,21.91
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.30,,1.26,0.79,28,30.88
359,19,141,154,10.9,942,801,28,59.49,,1.22,0.69,28,15.34
491,26,123,210,3.9,882,699,56,59.59,,1.48,0.72,28,24.34
540,0,0,173,0,1125,613,14,59.76,,1.11,0.71,28,23.89
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.80,,1.16,0.68,28,22.93
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,,1.42,0.72,28,29.41
375,93.8,0,126.6,23.4,852.1,992.6,56,60.20,,1.04,0.82,28,28.63
520,0,0,170,5.2,855,855,28,60.28,,0.57,0.69,28,36.8
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,1.25,0.67,28,18.29
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,1.39,1.05,28,32.72
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,,0.75,0.95,28,31.42
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,,1.47,0.84,28,28.94
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95,,0.57,0.95,28,40.93
446,24,79,162,11.6,967,712,56,61.07,,1.22,0.82,28,12.18
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,,1.17,0.69,28,25.56
326,166,0,174,9,882,790,28,61.23,,1.43,0.82,28,36.44
325.6,166.4,0,174,8.9,881.6,790,28,61.24,,1.18,1.05,28,32.96
387,20,94,157,11.6,938,845,56,61.46,,0.71,0.83,28,23.84
425,106.3,0,151.4,18.6,936,803.7,28,61.80,,1.17,0.95,28,26.23
491,26,123,201,3.9,822,699,56,61.86,,1.07,0.83,28,17.96
540,0,0,162,2.5,1055,676,28,61.89,,0.61,0.99,28,38.63
525,0,0,189,0,1125,613,180,61.92,,1.17,0.82,28,19.01
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,,0.75,0.82,28,33.72
424,22,132,178,8.5,822,750,28,62.05,,1.39,0.79,28,8.54
375,93.8,0,126.6,23.4,852.1,992.6,91,62.50,,1.11,0.63,28,13.46
359,19,141,154,10.9,942,801,28,62.94,,0.73,0.82,28,32.25
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14,,1.23,0.82,28,23.52
374,189.2,0,170.1,10.1,926.1,756.7,56,63.40,,1.33,0.67,28,29.73
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53,,0.66,0.82,28,49.77
505,0,60,195,0,1030,630,28,64.02,,0.57,0.83,28,52.45
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30,,0.59,0.82,28,40.93
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30,,0.54,0.83,28,44.87
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30,,1.25,0.83,28,13.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90,,1.16,0.63,28,37.43
425,106.3,0,151.4,18.6,936,803.7,56,64.90,,1.33,0.99,28,29.87
374,189.2,0,170.1,10.1,926.1,756.7,91,64.90,,0.59,0.99,28,56.62
425,106.3,0,153.5,16.5,852.1,887.1,91,65.20,,1.25,0.67,28,12.46
425,106.3,0,153.5,16.5,852.1,887.1,91,65.20,,1.25,0.99,28,23.79
425,106.3,0,153.5,16.5,852.1,887.1,91,65.20,,1.34,0.84,28,13.29
424,22,132,178,8.5,822,750,56,65.70,,0.67,0.82,28,39.42
366,187,0,191,7,824,757,28,65.91,,0.57,0.79,28,46.23
366,187,0,191.3,6.6,824.3,756.9,28,65.91,,0.41,0.82,28,44.52
439,177,0,186,11.1,884.9,707.9,28,66.00,,1.25,0.83,28,23.74
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10,,1.24,0.82,28,26.15
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42,,1.22,1.05,28,15.53
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.60,,0.69,0.7,28,43.58
425,106.3,0,151.4,18.6,936,803.7,91,66.70,,0.55,0.82,28,35.87
359,19,141,154,10.9,942,801,56,66.78,,0.57,0.69,28,41.05
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82,,1.25,0.79,28,28.99
469,117.2,0,137.8,32.2,852.1,840.5,28,66.90,,0.67,0.82,28,46.25
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95,,1.16,0.83,28,26.92
525,0,0,189,0,1125,613,270,67.11,,1.39,1.05,28,10.54
540,0,0,173,0,1125,613,28,67.31,,0.57,0.82,28,25.1
500,0,0,140,4,966,853,28,67.57,,1.26,0.83,28,29.07
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.70,,1.25,0.99,28,9.74
337.9,189,0,174.9,9.5,944.7,755.8,91,67.80,,0.74,0.82,28,33.8
250,180,95,159,9.5,860,800,28,67.87,,0.77,0.75,28,37.17
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.10,,1.1,0.89,28,33.76
475,118.8,0,181.1,8.9,852.1,781.5,28,68.30,,1.43,0.71,28,16.5
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.50,,1.38,0.97,28,19.99
359,19,141,154,10.9,942,801,56,68.75,,1.1,0.74,28,36.35
469,117.2,0,137.8,32.2,852.1,840.5,56,69.30,,0.54,0.71,28,38.22
540,0,0,173,0,1125,613,90,69.66,,1.1,0.9,28,15.42
500,0,0,151,9,1033,655,28,69.84,,0.7,0.81,28,33.42
469,117.2,0,137.8,32.2,852.1,840.5,91,70.70,,0.51,0.72,28,39.06
362.6,189,0,164.9,11.6,944.7,755.8,28,71.30,,1.1,0.76,28,27.68
362.6,189,0,164.9,11.6,944.7,755.8,28,71.30,,1.31,0.68,28,26.86
362.6,189,0,164.9,11.6,944.7,755.8,28,71.30,,0.54,0.88,28,45.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.30,,0.64,0.74,28,30.12
540,0,0,173,0,1125,613,180,71.62,,1.1,0.78,28,15.57
439,177,0,186,11.1,884.9,707.9,56,71.70,,1.22,0.89,28,44.61
485,0,0,146,0,1120,800,28,71.99,,0.68,0.75,28,53.52
424,22,132,168,8.9,822,750,28,72.10,,0.59,0.89,28,57.22
475,118.8,0,181.1,8.9,852.1,781.5,56,72.30,,0.52,0.92,28,65.91
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99,,0.62,0.98,28,52.83
439,177,0,186,11.1,884.9,707.9,91,73.30,,0.77,0.98,28,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.70,,1.1,0.71,28,18.03
540,0,0,173,0,1125,613,270,74.17,,1.16,0.68,28,37.36
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19,,1.27,0.86,28,35.31
424,22,132,168,8.9,822,750,56,74.36,,0.63,0.93,28,42.64
389.9,189,0,145.9,22,944.7,755.8,28,74.50,,0.66,0.86,28,40.06
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.70,,0.65,0.77,28,43.8
522,0,0,146,0,896,896,28,74.99,,0.53,0.9,28,61.24
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.50,,0.54,0.97,28,40.87
275,180,120,162,10.4,830,765,28,76.24,,1.36,0.85,28,33.31
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80,,0.58,0.75,28,52.43
362.6,189,0,164.9,11.6,944.7,755.8,56,77.30,,1.1,1,28,15.09
362.6,189,0,164.9,11.6,944.7,755.8,56,77.30,,0.54,0.85,28,38.46
362.6,189,0,164.9,11.6,944.7,755.8,56,77.30,,0.57,0.9,28,37.27
362.6,189,0,164.9,11.6,944.7,755.8,56,77.30,,1.69,0.76,28,35.23
451,0,0,165,11.3,1030,745,28,78.80,,0.62,0.91,28,42.14
362.6,189,0,164.9,11.6,944.7,755.8,91,79.30,,0.7,0.85,28,31.88
362.6,189,0,164.9,11.6,944.7,755.8,91,79.30,,0.74,0.95,28,41.54
362.6,189,0,164.9,11.6,944.7,755.8,91,79.30,,1.05,0.66,28,39.46
362.6,189,0,164.9,11.6,944.7,755.8,91,79.30,,1.1,0.96,28,37.92
389.9,189,0,145.9,22,944.7,755.8,56,79.40,,0.65,0.88,28,44.28
540,0,0,162,2.5,1040,676,28,79.99,,0.61,0.99,28,31.18
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.20,,1.3,0.87,28,23.7
315,137,0,145,5.9,1130,745,28,81.75,,1.1,0.8,28,32.77
389.9,189,0,145.9,22,944.7,755.8,91,82.60,,0.77,0.88,28,32.4
